ins_name,num_vehi,diff_b,diff_t,total_b,total_t,relative_gap_b,relative_gap_t,solve_time_b,solve_time_t
R104-100,11,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R105-100,15,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R106-100,13,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R107-100,11,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R108-100,9,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R109-100,13,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R110-100,12,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R111-100,12,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R112-100,10,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R201-100,8,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R202-100,8,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R203-100,6,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R204-100,5,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R205-100,5,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R206-100,4,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R207-100,4,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R208-100,4,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R209-100,5,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R210-100,6,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
R211-100,4,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC101-100,15,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC102-100,14,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC103-100,11,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC104-100,10,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC105-100,15,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC106-100,13,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC107-100,12,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC108-100,11,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC201-100,9,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC202-100,8,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC203-100,5,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC204-100,4,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC205-100,7,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC206-100,7,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC207-100,6,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
RC208-100,4,Inf,Inf,Inf,Inf,1.0,1.0,Inf,Inf
