ins,comp0,comp1,comp2,comp3,dis0,dis1,dis2,dis3
RC103,14797.200000000004,13655.000000000004,11935.199999999993,11633.099999999999,1258.0,1809.5999999999997,1990.7999999999993,1902.5999999999997
RC104,14118.099999999995,12696.800000000001,11395.1,11113.800000000005,1132.3000000000004,1490.0000000000005,1543.8999999999996,1562.6000000000001
RC105,14443.900000000001,15257.400000000003,13484.800000000003,13333.5,1625.0000000000002,2169.7000000000003,2438.199999999999,2344.9999999999995
RC106,14135.79999999999,14168.400000000003,12887.400000000001,12685.400000000001,1420.9999999999998,1837.4999999999998,1727.3000000000004,1688.1000000000001
RC107,14160.699999999995,13392.100000000002,12010.10000000001,12010.10000000001,1227.1000000000004,1775.5000000000002,1750.8,1750.8
RC108,14236.60000000001,13914.600000000004,11884.600000000002,11577.200000000003,1136.3,1809.0000000000002,1474.3999999999996,1493.4999999999998
RC201,45871.899999999994,46255.200000000004,43624.19999999999,43539.49999999999,1403.2999999999997,1957.5000000000007,2516.4999999999995,2519.999999999999
RC202,47130.19999999998,51097.5,37206.899999999994,36977.79999999999,1362.6999999999996,1827.8,2028.6999999999991,2101.299999999999
RC203,44251.40000000001,50050.60000000002,32158.49999999999,32158.49999999999,1046.3,1738.4999999999995,1922.8999999999992,1922.8999999999992
RC204,47839.400000000016,36979.59999999999,25559.999999999996,25237.399999999987,795.5000000000003,1493.7999999999997,1467.3000000000004,1223.1000000000004
RC205,47098.70000000001,45337.70000000002,39495.3,39411.399999999994,1294.3,1915.1999999999996,2123.7999999999993,2242.3
RC206,45254.1,43675.6,37509.09999999999,37492.9,1143.2999999999995,1868.3000000000006,2042.2999999999995,2095.0999999999995
RC207,45898.799999999996,45547.99999999999,33120.50000000001,32580.199999999997,1057.8,1759.7999999999997,1981.1000000000001,1969.2
RC208,45443.90000000001,42170.700000000004,32011.199999999986,30198.800000000003,825.1,1703.3000000000002,1349.2000000000003,1241.6999999999998
