ins,comp0,comp1,comp2,comp3,dis0,dis1,dis2,dis3
R110,1987.1999999999996,2597.2000000000003,2407.6,2407.6,1114.4000000000003,1621.1999999999996,1237.500000000001,1237.500000000001
R111,2092.6,2636.4,2563.7000000000003,2563.7000000000003,1189.8000000000004,1658.9000000000005,1211.0999999999997,1211.0999999999997
R112,1830.3999999999999,2142.2000000000003,1965.3999999999999,1965.3999999999999,977.7,1421.9000000000005,990.5,990.5
R201,3510.1,4833.4,5011.2,5011.2,1248.4000000000003,1686.2999999999995,1297.8000000000002,1297.8000000000002
R202,2715.2000000000003,4827.3,5019.500000000001,5019.500000000001,1187.9,1592.6000000000004,1096.6,1096.6
R203,2773.0,4019.3,4355.5,4355.5,935.7000000000003,1558.9,949.7,949.7
R204,1974.7,3337.4,3430.7,3430.7,821.0999999999999,1700.1999999999998,863.3,863.3
R205,2476.9,3083.5,3193.9,3193.9,990.3000000000002,1717.7999999999997,1039.4000000000005,1039.4000000000005
R206,2463.6000000000004,3683.8,3895.7999999999997,3895.7999999999997,902.4000000000001,1696.0999999999997,998.6,998.6
R207,1965.0,2965.0,3199.5,3199.5,886.6,1657.3999999999999,914.0999999999999,914.0999999999999
R208,1811.0,2825.8,2826.0,2826.0,722.6000000000003,1555.2,792.7000000000003,792.7000000000003
R209,2369.6000000000004,3460.3,3415.9,3415.9,904.9000000000003,1740.9,917.5,917.5
R210,2672.9,3844.7999999999997,4007.2,4007.2,935.2999999999998,1627.9999999999995,1012.7,1012.7
R211,1864.0000000000005,2824.9,2732.7000000000003,2732.7000000000003,882.0,1577.0,858.2000000000003,858.2000000000003
RC101,2564.2,3061.7,3105.4,3105.4,1693.1999999999998,2105.7000000000003,1843.1000000000001,1843.1000000000001
RC102,2361.3999999999996,3104.6,2979.0999999999995,2979.0999999999995,1551.1000000000006,2037.9,1613.4999999999995,1613.4999999999995
RC103,2226.6,2585.5000000000005,2526.7000000000003,2526.7000000000003,1258.0,1861.9999999999995,1433.0999999999997,1433.0999999999997
RC104,2004.8,2201.0999999999995,2136.3999999999996,2136.3999999999996,1132.3000000000004,1489.5999999999997,1226.9,1226.9
RC105,2441.9,3488.0,3106.7,3106.7,1625.0000000000002,2145.7000000000003,1717.2,1717.2
RC106,2166.7999999999997,2462.3,2509.4999999999995,2509.4999999999995,1420.9999999999998,1884.7000000000003,1523.2999999999995,1523.2999999999995
RC107,2119.3,2453.4,2446.9,2446.9,1227.1000000000004,1760.1999999999996,1361.8999999999996,1361.8999999999996
RC108,1985.7,2349.9999999999995,2326.9999999999995,2326.9999999999995,1136.3,1773.1999999999994,1421.6,1421.6
RC201,3273.5,4585.0,4805.400000000001,4805.400000000001,1403.2999999999997,1957.5000000000005,1409.6000000000001,1409.6000000000001
RC202,2621.2000000000003,3997.3,4151.700000000001,4151.700000000001,1362.6999999999996,1884.0,1315.4999999999998,1315.4999999999998
RC203,2612.0,3655.9,4227.2,4227.2,1046.3,1738.4999999999995,1064.1000000000004,1064.1000000000004
RC204,2487.5,3206.8,3023.4,3023.4,795.5000000000003,1612.1999999999996,819.5000000000001,819.5000000000001
RC205,3363.2,3962.0,4193.599999999999,4193.599999999999,1294.3,1921.3999999999999,1383.9000000000005,1383.9000000000005
RC206,2393.0,3507.6,3680.7,3680.7,1143.2999999999995,1868.3000000000004,1161.3999999999999,1161.3999999999999
RC207,2379.1,3405.5000000000005,3398.2000000000003,3398.2000000000003,1057.8,1759.8,1053.7000000000003,1053.7000000000003
RC208,2207.5,2776.4000000000005,2749.9,2749.9,825.1,1704.1999999999994,924.9,924.9
