ins_name,num_vehi,diff_b,diff_t,diff_d,diff_c,total_b,total_t,total_d,total_c,dis_b,dis_t,dis_d,dis_c,relative_gap_b,relative_gap_t,relative_gap_d,relative_gap_c,solve_time_b,solve_time_t,solve_time_d,solve_time_c
C202-25,2,0,383,1401.7000000000044,280.2000000000007,50469.299999999996,35596.799999999974,48347.99999999997,45893.8,589.0000000000001,379.90000000000003,214.7,244.0,0.0,0.037,0.0,0.0,15.21,3606.57,1.66,0.18
C203-25,2,0,383,2027.0000000000073,120.20000000000073,45333.3,30392.499999981977,43082.600000000006,43450.19999999998,549.5999999999999,355.40000000000003,214.7,241.7,0.0,0.136,0.0,0.0,22.07,3604.64,19.17,5.1
C204-25,2,0,286,1721.8999999999978,241,45002.29999999999,26746.699999999975,41302.39999999999,48666.19999999992,674.1999999999999,428.2000000000001,214.49999999999997,241.7,0.0,0.229,0.0,0.0,219.66,3602.37,19.58,7.91
C205-25,2,0,284.99999999999955,1722.0999999999985,125.79999999999927,42885.399999999994,40113.799999999996,40619.3,44222.5,403.7000000000001,353.4000000000001,214.7,248.2,0.0,0.0,0.0,0.0,1.18,149.82,0.59,0.2
C206-25,2,0,17.099999999998545,2082.5999999999985,367.7999999999993,42650.7,38719.7,45605.600000000006,42399.799999999996,401.4000000000001,358.80000000000007,214.7,245.9,0.0,0.0,0.0,0.0,104.31,219.93,2.3,0.52
C207-25,2,0,194.20000000000073,1854,0,42215.29999999999,34823.399999999994,45639.09999999999,43649.3,442.90000000000003,429.80000000000007,214.49999999999997,245.9,0.0,0.0,0.0,0.0,14.85,255.75,11.38,4.79
C208-25,2,0,1,2197.899999999998,638.9999999999995,41104.29999999998,36975.79999999999,43729.199999999975,40086.59999999999,567.4000000000001,338.20000000000005,214.5,245.9,0.0,0.0,0.0,0.0,9.04,229.62,7.3,0.81
R101-25,8,431.79999991317766,734.1999999999898,1128.6999999999866,1131.4999999999968,2773.7000000000007,2729.0000000000036,2828.900000000005,2828.5000000000036,859.5,770.6,617.1,617.1,0.0,0.0,0.0,0.0,57.37,3.19,0.16,0.06
R102-25,7,36.79999991900354,778.0000000000001,1048,1039.9999999999998,3386.6999999990007,2150.0999999999985,2996.799999999829,2902.800000000003,878.3,788.6,547.0999999999999,547.1,0.185,0.0,0.0,0.0,3602.49,20.1,787.86,13.57
R103-25,5,32.39999999500138,180,330.4000000000227,194.0000000000291,2652.5999999999985,1888.899999997987,2795.7000000000116,2808.2000000000153,759.5000000000002,619.0,454.6000000000001,454.6000000000001,1.0,0.149,0.0,0.0,3616.31,3618.68,355.08,17.81
R104-25,4,Inf,Inf,180,180.70000000000434,Inf,Inf,2498.5000000000073,2587.399999999994,Inf,Inf,416.8,433.50000000000006,1.0,1.0,0.024,0.0,3600.0,3600.0,3600.72,229.6
R105-25,6,6.299999897978262,241.00000000000023,463,529.600000000009,2787.899999981043,2575.699999999997,2841.7000000000007,2802.5999999999985,780.8000000000001,617.1000000000001,530.5,530.5,1.0,0.0,0.0,0.0,3601.47,273.12,46.23,0.61
