ins,comp0,comp1,comp2,comp3,dis0,dis1,dis2,dis3
R208,49370.500000000015,41766.100000000006,38064.299999999996,38064.299999999996,722.6000000000003,1555.2,792.7000000000003,792.7000000000003
R209,48521.3,46829.5,44337.1,44337.1,904.9000000000003,1740.9,917.5,917.5
R210,49540.800000000025,47285.39999999997,46121.899999999994,46121.899999999994,935.2999999999998,1627.9999999999995,1012.7,1012.7
R211,48989.200000000026,46686.0,46065.00000000001,46065.00000000001,882.0,1577.0,858.2000000000003,858.2000000000003
RC101,14396.500000000004,14745.000000000002,14644.499999999996,14644.499999999996,1693.1999999999998,2105.7000000000003,1843.1000000000001,1843.1000000000001
RC102,14740.100000000002,15027.700000000004,14728.600000000006,14728.600000000006,1551.1000000000006,2037.9,1613.4999999999995,1613.4999999999995
RC103,14797.200000000004,13433.800000000008,14831.600000000004,14831.600000000004,1258.0,1861.9999999999995,1433.0999999999997,1433.0999999999997
RC104,14118.099999999995,12685.200000000003,12985.700000000004,12985.700000000004,1132.3000000000004,1489.5999999999997,1226.9,1226.9
RC105,14443.900000000001,15050.800000000001,14847.300000000003,14847.300000000003,1625.0000000000002,2145.7000000000003,1717.2,1717.2
RC106,14135.79999999999,14298.1,13730.50000000001,13730.50000000001,1420.9999999999998,1884.7000000000003,1523.2999999999995,1523.2999999999995
RC107,14160.699999999995,13540.300000000001,13970.500000000004,13970.500000000004,1227.1000000000004,1760.1999999999996,1361.8999999999996,1361.8999999999996
RC108,14236.60000000001,13903.300000000005,14340.400000000007,14340.400000000007,1136.3,1773.1999999999994,1421.6,1421.6
RC201,45871.899999999994,46255.19999999999,46783.29999999999,46783.29999999999,1403.2999999999997,1957.5000000000005,1409.6000000000001,1409.6000000000001
RC202,47130.19999999998,51022.20000000001,47113.70000000001,47113.70000000001,1362.6999999999996,1884.0,1315.4999999999998,1315.4999999999998
RC203,44251.40000000001,50050.59999999999,51088.49999999999,51088.49999999999,1046.3,1738.4999999999995,1064.1000000000004,1064.1000000000004
RC204,47839.400000000016,41403.8,40090.19999999999,40090.19999999999,795.5000000000003,1612.1999999999996,819.5000000000001,819.5000000000001
RC205,47098.70000000001,45620.50000000001,45992.300000000025,45992.300000000025,1294.3,1921.3999999999999,1383.9000000000005,1383.9000000000005
RC206,45254.1,43675.60000000002,44489.70000000001,44489.70000000001,1143.2999999999995,1868.3000000000004,1161.3999999999999,1161.3999999999999
RC207,45898.799999999996,45548.00000000002,44417.700000000026,44417.700000000026,1057.8,1759.8,1053.7000000000003,1053.7000000000003
RC208,45443.90000000001,42070.2,47748.100000000006,47748.100000000006,825.1,1704.1999999999994,924.9,924.9
